year,B_n,C_n,B_retry_pos_rate,C_retry_pos_rate,delta_retry_pos_C_minus_B,B_rejected_rate,C_rejected_rate,delta_rejected_C_minus_B,B_approved_rate,C_approved_rate,delta_approved_C_minus_B
1,1500,1400,0.056666666666666664,0.04,-0.016666666666666663,0.0033333333333333335,0.0007142857142857143,-0.0026190476190476194,0.9433333333333334,0.96,0.016666666666666607
2,1498,1397,0.05874499332443257,0.030780243378668574,-0.027964749945764,0.0033377837116154874,0.0007158196134574087,-0.002621964098158079,0.9412550066755674,0.9692197566213314,0.027964749945764034
3,1404,1390,0.07264957264957266,0.039568345323741004,-0.03308122732583165,0.004273504273504274,0.0035971223021582736,-0.0006763819713460004,0.9273504273504274,0.960431654676259,0.03308122732583163
4,1347,1352,0.08166295471417966,0.0650887573964497,-0.016574197317729952,0.003711952487008166,0.005177514792899409,0.0014655623058912426,0.9183370452858204,0.9349112426035503,0.01657419731772991
5,1272,1275,0.07783018867924528,0.05803921568627451,-0.019790972992970772,0.006289308176100629,0.000784313725490196,-0.0055049944506104335,0.9221698113207547,0.9419607843137255,0.019790972992970834
6,1189,1224,0.07064760302775441,0.03594771241830065,-0.03469989060945376,0.004205214465937763,0.0016339869281045752,-0.0025712275378331874,0.9293523969722456,0.9640522875816994,0.034699890609453776
7,1140,1188,0.07456140350877193,0.031144781144781145,-0.043416622363990784,0.0,0.0,0.0,0.9254385964912281,0.9688552188552189,0.0434166223639908
8,1075,1155,0.046511627906976744,0.03722943722943723,-0.009282190677539513,0.0009302325581395349,0.0008658008658008658,-6.443169233866914e-05,0.9534883720930233,0.9627705627705627,0.009282190677539437
9,1023,1119,0.053763440860215055,0.05987488829311886,0.006111447432903802,0.0009775171065493646,0.002680965147453083,0.0017034480409037185,0.946236559139785,0.9401251117068812,-0.006111447432903816
10,971,1075,0.0411946446961895,0.04930232558139535,0.008107680885205852,0.003089598352214212,0.0037209302325581397,0.0006313318803439277,0.9588053553038105,0.9506976744186046,-0.008107680885205859
