Model,Group,Steps,Retries_Total,Err_Labels,Err_Constructs,Err_Schema,Err_Empty,Err_Hallucination,Intv_S_Audit,Intv_P_Audit
deepseek_r1_1_5b,Group_A,800,0,0,0,0,0,0,0,0
deepseek_r1_1_5b,Group_B,1000,165,54,11,52,0,0,127,117
deepseek_r1_1_5b,Group_C,1000,126,32,5,37,1,0,106,75
deepseek_r1_8b,Group_A,1000,0,0,0,0,0,0,0,0
deepseek_r1_8b,Group_B,1000,164,0,0,0,26,0,1,26
deepseek_r1_8b,Group_C,1000,104,0,0,0,8,0,2,8
deepseek_r1_14b,Group_A,1000,0,0,0,0,0,0,0,0
deepseek_r1_14b,Group_B,1000,0,0,0,0,0,0,0,0
deepseek_r1_14b,Group_C,1000,0,0,0,0,0,0,0,0
deepseek_r1_32b,Group_A,1000,0,0,0,0,0,0,0,0
