model,group,run,n_active,R_H_pct,R_H_phys_pct,R_H_think_pct,V1,V2,V3,EHE,PFR_pct
Gemma3-4B,Group_A,Run_1,899,1.335,0.0,1.335,1,11,0,0.3735,
Gemma3-4B,Group_A,Run_2,900,1.111,0.0,1.111,0,10,0,0.2616,
Gemma3-4B,Group_A,Run_3,900,1.0,0.0,1.0,0,9,0,0.2872,
Gemma3-4B,Group_B,Run_1,755,1.192,0.0,1.192,0,9,0,0.6389,12.281
Gemma3-4B,Group_B,Run_2,748,0.668,0.0,0.668,0,5,0,0.5917,6.486
Gemma3-4B,Group_B,Run_3,801,0.749,0.0,0.749,0,5,1,0.587,9.656
Gemma3-4B,Group_C,Run_1,757,1.189,0.0,1.189,0,9,0,0.6795,14.936
Gemma3-4B,Group_C,Run_2,780,1.026,0.0,1.026,0,8,0,0.6363,5.568
Gemma3-4B,Group_C,Run_3,846,0.355,0.0,0.355,0,3,0,0.592,5.814
Gemma3-12B,Group_A,Run_1,899,3.226,0.0,3.226,0,29,0,0.286,
Gemma3-12B,Group_A,Run_2,891,3.479,0.0,3.479,2,29,0,0.2916,
Gemma3-12B,Group_A,Run_3,895,3.352,0.0,3.352,0,30,0,0.2685,
Gemma3-12B,Group_B,Run_1,783,0.128,0.0,0.128,0,1,0,0.3614,0.227
Gemma3-12B,Group_B,Run_2,702,0.285,0.0,0.285,0,2,0,0.3836,0.249
Gemma3-12B,Group_B,Run_3,844,0.118,0.0,0.118,0,1,0,0.3326,0.424
Gemma3-12B,Group_C,Run_1,862,0.232,0.0,0.232,0,2,0,0.3498,0.0
Gemma3-12B,Group_C,Run_2,874,0.114,0.0,0.114,0,1,0,0.2567,0.308
Gemma3-12B,Group_C,Run_3,898,0.111,0.0,0.111,0,1,0,0.322,0.1
Gemma3-27B,Group_A,Run_1,900,0.556,0.0,0.556,0,5,0,0.3129,
Gemma3-27B,Group_A,Run_2,900,0.556,0.0,0.556,0,5,0,0.3082,
Gemma3-27B,Group_A,Run_3,900,1.222,0.0,1.222,0,11,0,0.3453,
Gemma3-27B,Group_B,Run_1,884,0.339,0.0,0.339,0,3,0,0.4804,0.102
Gemma3-27B,Group_B,Run_2,896,0.223,0.0,0.223,0,2,0,0.482,0.301
Gemma3-27B,Group_B,Run_3,900,0.111,0.0,0.111,0,1,0,0.4236,0.5
Gemma3-27B,Group_C,Run_1,897,0.334,0.0,0.334,0,3,0,0.5524,0.401
Gemma3-27B,Group_C,Run_2,900,0.333,0.0,0.333,0,3,0,0.4836,0.6
Gemma3-27B,Group_C,Run_3,894,0.336,0.0,0.336,0,3,0,0.453,0.604
Ministral-3B,Group_A,Run_1,898,7.461,0.0,7.461,1,66,0,0.3806,
Ministral-3B,Group_A,Run_2,892,9.529,0.0,9.529,6,79,0,0.4294,
Ministral-3B,Group_A,Run_3,898,9.688,0.0,9.688,2,85,0,0.3083,
Ministral-3B,Group_B,Run_1,588,2.551,0.17,2.381,0,14,0,0.6171,43.75
Ministral-3B,Group_B,Run_2,618,1.78,0.0,1.78,0,11,0,0.6041,9.053
Ministral-3B,Group_B,Run_3,567,1.411,0.0,1.411,0,8,0,0.6191,7.046
Ministral-3B,Group_C,Run_1,664,1.657,0.0,1.657,0,11,0,0.5179,9.424
Ministral-3B,Group_C,Run_2,605,1.983,0.0,1.983,0,12,0,0.587,7.801
Ministral-3B,Group_C,Run_3,614,1.466,0.0,1.466,0,9,0,0.6079,8.824
Ministral-8B,Group_A,Run_1,895,1.564,0.0,1.564,3,11,0,0.5596,
Ministral-8B,Group_A,Run_2,899,1.557,0.0,1.557,1,13,0,0.5444,
Ministral-8B,Group_A,Run_3,894,1.566,0.0,1.566,4,10,0,0.5603,
Ministral-8B,Group_B,Run_1,848,0.236,0.0,0.236,0,2,0,0.5696,5.591
Ministral-8B,Group_B,Run_2,823,0.365,0.0,0.365,0,3,0,0.5502,4.984
Ministral-8B,Group_B,Run_3,839,0.358,0.0,0.358,0,3,0,0.5715,5.751
Ministral-8B,Group_C,Run_1,716,0.14,0.0,0.14,0,1,0,0.5285,4.534
Ministral-8B,Group_C,Run_2,738,0.0,0.0,0.0,0,0,0,0.56,5.728
Ministral-8B,Group_C,Run_3,759,0.264,0.0,0.264,0,2,0,0.5048,5.471
Ministral-14B,Group_A,Run_1,895,10.95,0.0,10.95,4,94,0,0.5708,
Ministral-14B,Group_A,Run_2,891,12.009,0.0,12.009,8,99,0,0.5896,
Ministral-14B,Group_A,Run_3,893,11.87,0.0,11.87,8,98,0,0.5546,
Ministral-14B,Group_B,Run_1,789,0.507,0.0,0.507,0,4,0,0.6098,3.937
Ministral-14B,Group_B,Run_2,729,0.96,0.0,0.96,0,7,0,0.6244,4.704
Ministral-14B,Group_B,Run_3,777,0.901,0.0,0.901,0,7,0,0.6337,4.333
Ministral-14B,Group_C,Run_1,827,0.363,0.0,0.363,0,3,0,0.6173,5.394
Ministral-14B,Group_C,Run_2,813,0.246,0.0,0.246,0,2,0,0.5965,5.696
Ministral-14B,Group_C,Run_3,830,0.602,0.0,0.602,0,5,0,0.6021,5.484
